Kabupaten_Kota,Tahun,Rencana_KPM,Realisasi_KPM,Rencana_Anggaran,Realisasi_Anggaran
Banggai Kepulauan,2024,41220,40573,24732000000,24343800000
Banggai,2024,93816,93816,92020,56289600000
Morowali,2024,31473,31473,29314,18883800000
Poso,2024,75031,75031,72827,45018600000
Donggala,2024,87227,87227,85705,52336200000
Toli-Toli,2024,72990,72990,71023,43794000000
Buol,2024,58449,58449,57583,35069400000
Parigi Moutong,2024,156456,156456,152304,93873600000
Tojo Una-Una,2024,53799,53799,52818,32279400000
Sigi,2024,71648,71648,68664,42988800000
Banggai Laut,2024,13696,13696,13364,8217600000
Morowali Utara,2024,27113,27113,25552,16267800000
Kota Palu,2024,75693,75693,73983,45415800000
Banggai Kepulauan,2023,60960,60055,25110000000,24711200000
Banggai,2023,142149,139648,57360800000,56313200000
Morowali,2023,51890,47921,21141800000,19482600000
Poso,2023,110498,107148,45217600000,43819800000
Donggala,2023,131137,128238,52785200000,51583200000
Toli-Toli,2023,99291,96454,41423600000,40212800000
Buol,2023,84648,83210,34873000000,34261200000
Parigi Moutong,2023,198706,191894,84230000000,81327400000
Tojo Una-Una,2023,80509,79694,32749600000,32407400000
Sigi,2023,101018,94906,41811600000,39276800000
Banggai Laut,2023,19430,18796,7906600000,7648400000
Morowali Utara,2023,43566,41122,17705000000,16679000000
Kota Palu,2023,101941,99451,41867800000,40817200000
Banggai Kepulauan,2023,74741,71686,25829800000,24805400000
Banggai,2023,181689,169360,61957400000,58698600000
Morowali,2023,71481,60893,24496000000,21677000000
Poso,2023,135338,116923,46486800000,42366400000
Donggala,2023,158429,139028,54316600000,49958200000
Toli-Toli,2023,114023,107113,39280000000,37371400000
Buol,2023,98883,93479,34055600000,32517000000
Parigi Moutong,2023,216118,189169,74486400000,68346600000
Tojo Una-Una,2023,98671,91899,33912400000,31944200000
Sigi,2023,113356,100234,40090400000,36794800000
Banggai Laut,2023,23816,22114,8129400000,7641000000
Morowali Utara,2023,58084,53367,19884600000,18511800000
Kota Palu,2023,121564,105945,41560800000,37912600000
Banggai Kepulauan,2023,8146,9307,24536800000,22970800000
Banggai,2023,21081,23214,64207200000,59157200000
Morowali,2023,7036,7389,20218000000,18898200000
Poso,2023,18819,17945,54836400000,50059200000
Donggala,2023,21115,20090,61589200000,55996800000
Toli-Toli,2023,13351,14264,41192800000,36677600000
Buol,2023,11439,12400,32791200000,29294600000
Parigi Moutong,2023,29494,27892,87658000000,78006600000
Tojo Una-Una,2023,11126,11995,33515600000,30649200000
Sigi,2023,16421,15921,45753200000,43512600000
Banggai Laut,2023,2363,2661,7323200000,6659400000
Morowali Utara,2023,6995,7544,20964800000,19123600000
Kota Palu,2023,17599,16805,45379600000,44113400000
Banggai Kepulauan,2023,9725,9997,1945000000,1999400000
Banggai,2023,23734,27835,4746800000,5567000000
Morowali,2023,8652,8720,1730400000,1744000000
Poso,2023,23347,22240,4669400000,4448000000
Donggala,2023,22758,25574,4551600000,5114800000
Toli-Toli,2023,17505,17020,3501000000,3404000000
Buol,2023,13257,12970,2651400000,2594000000
Parigi Moutong,2023,36247,36538,7249400000,7307600000
Tojo Una-Una,2023,14010,15751,2802000000,3150200000
Sigi,2023,16255,18124,3251000000,3624800000
Banggai Laut,2023,2955,3133,591000000,626600000
Morowali Utara,2023,8763,8845,1752600000,1769000000
Kota Palu,2023,13192,15235,2638400000,3047000000
Banggai Kepulauan,2023,7847,7847,10358040000,10358040000
Banggai,2023,18565,18565,24505800000,24505800000
Morowali,2023,7577,7577,10001640000,10001640000
Poso,2023,20952,20919,27656640000,27613080000
Donggala,2023,21810,21810,28789200000,28789200000
Toli-Toli,2023,14485,14485,19120200000,19120200000
Buol,2023,10131,10127,13372920000,13367640000
Parigi Moutong,2023,33585,33322,44332200000,43985040000
Tojo Una-Una,2023,11574,11112,15277680000,14667840000
Sigi,2023,14597,14587,19268040000,19254840000
Banggai Laut,2023,2511,2507,3314520000,3309240000
Morowali Utara,2023,7108,7108,9382560000,9382560000
Kota Palu,2023,10224,10224,13495680000,13495680000
Banggai Kepulauan,2023,9598,95980,1055780000,10557800000
Banggai,2023,22897,228970,2518670000,25186700000
Morowali,2023,8293,82930,912230000,9122300000
Poso,2023,19778,197780,2175580000,21755800000
Donggala,2023,24830,248300,2731300000,27313000000
Toli-Toli,2023,14888,148880,1637680000,16376800000
Buol,2023,10702,...,1177220000,...
Parigi Moutong,2023,38413,384130,4225430000,42254300000
Tojo Una-Una,2023,12395,123860,1363450000,13624600000
Sigi,2023,16448,163780,1809280000,18015800000
Banggai Laut,2023,3075,30190,338250000,3320900000
Morowali Utara,2023,8092,80820,890120000,8890200000
Kota Palu,2023,12478,124780,1372580000,13725800000
